Sample	mapped_to_annotated	filtered_for_rRNA
Ap_3	3853336	3828667
Ap_4	3162928	3142343
Ap_6	3185027	3161798
Ap_7	3228760	3211333
Ap_8	3882483	3870335
Bb_3	2950962	2936525
Bb_4	3298798	3282954
Bb_5	3501445	3490933
Bb_6	3220127	3209698
Bb_8	3564470	3544142
KIRA6_Ap_1	2934853	2919780
KIRA6_Ap_2	2943303	2928117
KIRA6_Ap_4	3265160	3247950
KIRA6_Ap_7	3631873	3611251
KIRA6_Ap_8	3024215	3006124
KIRA6_Bb_1	2755952	2728071
KIRA6_Bb_2	2557106	2532065
KIRA6_Bb_3	2740505	2713317
KIRA6_Bb_6	2458457	2434464
KIRA6_Bb_8	2539976	2514699
KIRA6_Uninfected_1	3022779	2997910
KIRA6_Uninfected_3	2978748	2953290
KIRA6_Uninfected_5	3048646	3030273
KIRA6_Uninfected_7	2781152	2764087
KIRA6_Uninfected_8	2527556	2515078
Uninfected_1	3676008	3667194
Uninfected_4	3703570	3686315
Uninfected_5	3505204	3486033
Uninfected_7	3795224	3776480
Uninfected_8	3279454	3260617
